beds,bathrooms,toilets,parking_space,title,state,price
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,4,detached-uplexes,lagos,120000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,2,detached-uplexes,lagos,85000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
5,5,6,6,detached-uplexes,lagos,750000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
5,6,6,5,detached-uplexes,lagos,180000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,4,detached-uplexes,lagos,120000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
5,5,6,6,detached-uplexes,lagos,750000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
5,5,6,12,detached-uplexes,lagos,100000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
5,6,6,5,detached-uplexes,lagos,180000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,4,detached-uplexes,lagos,78000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,2,detached-uplexes,lagos,110000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,2,detached-uplexes,lagos,105000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
5,5,6,6,detached-uplexes,lagos,750000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,2,detached-uplexes,lagos,105000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,3,detached-uplexes,lagos,65000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,4,3,detached-uplexes,lagos,46000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,3,detached-uplexes,lagos,210000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,3,detached-uplexes,lagos,210000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,2,detached-uplexes,lagos,105000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,2,detached-uplexes,lagos,150000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,4,detached-uplexes,lagos,78000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,3,detached-uplexes,lagos,210000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
5,6,6,,detached-uplexes,lagos,650000000
4,4,5,3,detached-uplexes,lagos,80000000
3,2,2,648,detached-uplexes,lagos,35000000
4,5,5,3,detached-uplexes,lagos,200000000
5,5,6,4,detached-uplexes,lagos,125000000
5,5,6,4,detached-uplexes,lagos,110000000
4,,,,detached-uplexes,lagos,60000000
5,5,6,4,detached-uplexes,lagos,120000000
5,5,6,4,detached-uplexes,lagos,270000000
4,5,,,detached-uplexes,lagos,56000000
3,3,4,3,detached-uplexes,lagos,45000000
5,5,6,,detached-uplexes,lagos,325000000
6,6,7,6,detached-uplexes,lagos,5000000
5,5,6,8,detached-uplexes,lagos,220000000
4,4,5,2,detached-uplexes,lagos,110000000
3,3,,,detached-uplexes,lagos,43000000
2,3,,,detached-uplexes,lagos,33000000
5,5,6,4,detached-uplexes,lagos,145000000
5,5,4,3,detached-uplexes,lagos,145000000
4,4,5,2,detached-uplexes,lagos,55000000
5,6,6,,detached-uplexes,lagos,350000000
